Wall time,Step,Value
1667390556.707005,10800,-6.0
1667390556.716935,14400,-3.025160074234009
1667390556.738482,22200,-6.0
1667390556.748405,25800,-6.0
1667390556.800124,44400,-6.0
1667390556.848345,61800,-6.0
1667390556.861577,66600,-6.0
1667390556.888116,76200,-6.0
1667390556.916335,86400,-6.0
1667390556.993757,113400,-5.511871337890625
1667390557.01852,122400,-1.9330447912216187
1667390557.025128,124800,-6.0
1667390557.093573,149400,-6.0
1667390557.17472,178800,-6.0
1667390557.293732,222000,-0.6536285281181335
1667390557.379848,253200,-3.444411039352417
1667390557.50705,299400,-3.313631296157837
1667390557.540093,311400,-1.9330447912216187
1667390557.546689,313800,-0.2069236934185028
1667390557.64902,351000,-1.1878836154937744
1667390557.695308,367800,-6.0
1667390557.701923,370200,-6.0
1667390557.731678,381000,-6.0
1667390557.734993,382200,-6.0
1667390557.768084,394200,-6.0
1667390557.77303,396000,-6.0
1667390557.890383,438600,1.277971625328064
1667390557.903591,443400,-5.511871337890625
1667390557.920128,449400,-0.6536285281181335
1667390557.935045,454800,-5.511871337890625
1667390557.966483,466200,-1.2783477306365967
1667390557.973063,468600,-0.06227315217256546
1667390557.99789,477600,-6.0
1667390558.062386,500495,-6.0
1667390558.080555,507095,-6.0
1667390558.222791,558695,-6.0
1667390558.244291,566495,-6.0
1667390558.517286,665495,-1.9330447912216187
1667390558.55699,679895,-6.05322790145874
1667390558.684316,726095,-6.0
1667390558.710691,735695,-6.0
1667390558.842858,783138,-5.839380264282227
1667390558.847841,784938,-5.737109661102295
1667390558.866033,791538,-3.313631296157837
1667390558.991963,836585,-4.312568187713623
1667390559.011944,843785,-3.3812694549560547
1667390559.141315,890031,-4.139145851135254
1667390559.181014,904431,-6.0
1667390559.230631,922431,-6.0
1667390559.238863,925431,-6.0
1667390559.429064,994431,-6.0
1667390559.472094,1010031,-6.0
1667390559.505125,1022031,-6.0
1667390559.51008,1023831,-6.0
1667390559.541571,1035231,-6.0
1667390559.599432,1056231,-6.0
1667390559.620853,1064031,-5.300000190734863
1667390559.700291,1092831,-3.3812694549560547
1667390559.721791,1100631,-6.501461982727051
1667390559.936663,1178631,-6.0
1667390559.953162,1184631,-6.0
1667390560.052353,1220631,-6.0
1667390560.151365,1256631,-6.0
1667390560.24648,1290231,-6.013321399688721
1667390560.292891,1307031,-6.0
1667390560.335767,1322631,-6.699999809265137
1667390560.411658,1350231,-6.0
1667390560.459499,1367631,-6.0
1667390560.611349,1417431,-6.501461982727051
1667390560.686458,1445031,-5.511871337890625
1667390560.789124,1482831,-6.0
1667390560.857482,1508031,-7.400000095367432
1667390560.937301,1537431,-6.501461982727051
1667390561.01871,1567431,-6.501461982727051
1667390561.044791,1577031,-6.501461982727051
1667390561.080609,1590231,-5.511871337890625
1667390561.136251,1609431,-6.0
1667390561.145694,1612431,-6.501461982727051
1667390561.23145,1641231,-6.05322790145874
1667390561.279677,1657431,-7.400000095367432
1667390561.28313,1658631,-6.699999809265137
1667390561.314067,1668831,-6.05322790145874
1667390561.328287,1673631,-6.0
1667390561.33179,1674831,-6.0
1667390561.359883,1684431,-6.0
1667390561.415905,1703631,-7.400000095367432
1667390561.509945,1734831,-5.511871337890625
1667390561.615384,1772031,-6.05322790145874
1667390561.618821,1773231,-6.0
1667390561.779885,1821231,-6.0
1667390561.905465,1865631,-6.0
1667390561.920756,1871031,-6.0
1667390562.01411,1904031,-6.0
1667390562.073684,1925031,-6.0
1667390562.094147,1932231,-6.501461982727051
1667390562.101018,1934631,-6.0
1667390562.148613,1951431,-6.05322790145874
1667390562.15031,1952031,-6.501461982727051
1667390562.246041,1984431,-6.0
1667390562.257885,1988631,-6.0
1667390562.342647,2017431,-7.400000095367432
1667390562.358049,2022831,-6.026633262634277
1667390562.390804,2034231,-6.501461982727051
1667390562.424943,2046231,-6.501461982727051
1667390562.464968,2059431,-6.501461982727051
1667390562.498169,2070231,-7.400000095367432
1667390562.515305,2076231,-6.501461982727051
1667390562.534829,2082831,-6.501461982727051
1667390562.826149,2183631,-7.400000095367432
1667390562.894986,2207631,-6.501461982727051
1667390562.967766,2232831,-6.05322790145874
1667390563.021893,2250831,-6.05322790145874
1667390563.087799,2273631,-6.05322790145874
1667390563.09125,2274831,-6.501461982727051
1667390563.136965,2291031,-6.501461982727051
1667390563.281947,2341431,-6.0
1667390563.378135,2373831,-6.05322790145874
1667390563.383442,2375631,-6.05322790145874
1667390563.415508,2386431,-6.05322790145874
1667390563.419068,2387631,-6.05322790145874
1667390563.462163,2403231,-6.05322790145874
1667390563.571348,2443431,-6.699999809265137
1667390563.659268,2475831,-6.05322790145874
1667390563.800794,2528031,-5.511871337890625
1667390563.804015,2529231,-6.501461982727051
1667390563.888666,2560431,-6.05322790145874
1667390563.90331,2565831,-6.013321399688721
1667390563.909793,2568231,-6.013321399688721
1667390563.939057,2579031,-6.013321399688721
1667390563.99774,2600631,-5.511871337890625
1667390564.16742,2658831,-6.989949703216553
1667390564.169076,2659431,-6.013321399688721
1667390564.320825,2712231,-6.501461982727051
1667390564.350159,2722431,-6.699999809265137
1667390564.439804,2753031,-5.511871337890625
1667390564.716977,2847231,-6.05322790145874
1667390564.748547,2858031,-5.511871337890625
1667390564.761325,2862231,-5.511871337890625
1667390564.781194,2868831,-6.699999809265137
1667390564.78461,2870031,-6.0
1667390564.878232,2901831,-6.501461982727051
1667390564.939364,2923431,-6.501461982727051
1667390565.002114,2945631,-6.05322790145874
1667390565.027796,2954631,-6.0
1667390565.141982,2994831,-6.501461982727051
1667390565.206206,3017631,-6.013321399688721
1667390565.295232,3048231,-6.0
1667390565.412818,3092031,-6.501461982727051
1667390565.453295,3103431,-6.05322790145874
1667390565.612176,3158631,-6.05322790145874
1667390565.69957,3191031,-6.501461982727051
1667390565.712519,3195831,-6.05322790145874
1667390565.735079,3204231,-6.501461982727051
1667390565.739954,3206031,-5.511871337890625
1667390565.841742,3243831,-5.511871337890625
1667390565.880549,3258231,-6.501461982727051
1667390565.95183,3284631,-5.511871337890625
1667390566.011693,3306831,-5.511871337890625
1667390566.108867,3342831,-6.0
1667390566.120204,3347031,-6.0
1667390566.186472,3371631,-5.511871337890625
1667390566.188073,3372231,-7.400000095367432
1667390566.196143,3375231,-5.511871337890625
1667390566.213904,3381831,-5.511871337890625
1667390566.35005,3426231,-5.511871337890625
1667390566.428067,3454431,-6.0
1667390566.519325,3488031,-5.511871337890625
1667390566.522628,3489231,-6.501461982727051
1667390566.764917,3579231,-7.400000095367432
1667390566.771266,3581631,-6.501461982727051
1667390566.88985,3626031,-7.400000095367432
1667390566.897831,3629031,-7.400000095367432
1667390567.022473,3675831,-6.0
1667390567.035286,3680631,-5.511871337890625
1667390567.190699,3738231,-6.501461982727051
1667390567.206995,3744231,-6.05322790145874
1667390567.221559,3749631,-6.0
1667390567.311082,3782631,-6.699999809265137
1667390567.315941,3784431,-6.699999809265137
