Wall time,Step,Value
1667390556.708199,10800,600.0
1667390556.718143,14400,600.0
1667390556.739683,22200,600.0
1667390556.749594,25800,600.0
1667390556.801322,44400,600.0
1667390556.849545,61800,600.0
1667390556.862801,66600,600.0
1667390556.889359,76200,600.0
1667390556.917542,86400,600.0
1667390556.994953,113400,600.0
1667390557.01976,122400,600.0
1667390557.02634,124800,600.0
1667390557.094784,149400,600.0
1667390557.175923,178800,600.0
1667390557.294928,222000,600.0
1667390557.381044,253200,600.0
1667390557.508242,299400,600.0
1667390557.541284,311400,600.0
1667390557.547918,313800,600.0
1667390557.65023,351000,600.0
1667390557.696499,367800,600.0
1667390557.703137,370200,600.0
1667390557.732869,381000,600.0
1667390557.736188,382200,600.0
1667390557.769278,394200,600.0
1667390557.774242,396000,600.0
1667390557.891572,438600,600.0
1667390557.904785,443400,600.0
1667390557.921328,449400,600.0
1667390557.936243,454800,600.0
1667390557.967676,466200,600.0
1667390557.974267,468600,600.0
1667390557.999088,477600,600.0
1667390558.063581,500495,600.0
1667390558.081765,507095,600.0
1667390558.223982,558695,600.0
1667390558.245481,566495,600.0
1667390558.518501,665495,600.0
1667390558.558204,679895,600.0
1667390558.685519,726095,600.0
1667390558.711932,735695,600.0
1667390558.844098,783138,600.0
1667390558.849048,784938,600.0
1667390558.867239,791538,600.0
1667390558.993161,836585,600.0
1667390559.013152,843785,600.0
1667390559.142524,890031,600.0
1667390559.182222,904431,600.0
1667390559.231841,922431,600.0
1667390559.240104,925431,600.0
1667390559.430393,994431,600.0
1667390559.473282,1010031,600.0
1667390559.506336,1022031,600.0
1667390559.511275,1023831,600.0
1667390559.542785,1035231,600.0
1667390559.600629,1056231,600.0
1667390559.622098,1064031,600.0
1667390559.701483,1092831,600.0
1667390559.722994,1100631,600.0
1667390559.937874,1178631,600.0
1667390559.954415,1184631,600.0
1667390560.053589,1220631,600.0
1667390560.152553,1256631,600.0
1667390560.24772,1290231,600.0
1667390560.294094,1307031,600.0
1667390560.336959,1322631,600.0
1667390560.412852,1350231,600.0
1667390560.460747,1367631,600.0
1667390560.612556,1417431,600.0
1667390560.687677,1445031,600.0
1667390560.790309,1482831,600.0
1667390560.858708,1508031,600.0
1667390560.938519,1537431,600.0
1667390561.019925,1567431,600.0
1667390561.046018,1577031,600.0
1667390561.081835,1590231,600.0
1667390561.137536,1609431,600.0
1667390561.146978,1612431,600.0
1667390561.232714,1641231,600.0
1667390561.280891,1657431,600.0
1667390561.284371,1658631,600.0
1667390561.315321,1668831,600.0
1667390561.329525,1673631,600.0
1667390561.333014,1674831,600.0
1667390561.361477,1684431,600.0
1667390561.417384,1703631,600.0
1667390561.511165,1734831,600.0
1667390561.616634,1772031,600.0
1667390561.620034,1773231,600.0
1667390561.781138,1821231,600.0
1667390561.906684,1865631,600.0
1667390561.922082,1871031,600.0
1667390562.015373,1904031,600.0
1667390562.074983,1925031,600.0
1667390562.095409,1932231,600.0
1667390562.102247,1934631,600.0
1667390562.149832,1951431,600.0
1667390562.151532,1952031,600.0
1667390562.247271,1984431,600.0
1667390562.259093,1988631,600.0
1667390562.343858,2017431,600.0
1667390562.359312,2022831,600.0
1667390562.392052,2034231,600.0
1667390562.426426,2046231,600.0
1667390562.466205,2059431,600.0
1667390562.49938,2070231,600.0
1667390562.516518,2076231,600.0
1667390562.536039,2082831,600.0
1667390562.82736,2183631,600.0
1667390562.896241,2207631,600.0
1667390562.968977,2232831,600.0
1667390563.02337,2250831,600.0
1667390563.089058,2273631,600.0
1667390563.092463,2274831,600.0
1667390563.138209,2291031,600.0
1667390563.28322,2341431,600.0
1667390563.379403,2373831,600.0
1667390563.384745,2375631,600.0
1667390563.416772,2386431,600.0
1667390563.420355,2387631,600.0
1667390563.46334,2403231,600.0
1667390563.572572,2443431,600.0
1667390563.660443,2475831,600.0
1667390563.801975,2528031,600.0
1667390563.805229,2529231,600.0
1667390563.889884,2560431,600.0
1667390563.904497,2565831,600.0
1667390563.910971,2568231,600.0
1667390563.940236,2579031,600.0
1667390563.99901,2600631,600.0
1667390564.16863,2658831,600.0
1667390564.170447,2659431,600.0
1667390564.322147,2712231,600.0
1667390564.351456,2722431,600.0
1667390564.44106,2753031,600.0
1667390564.718342,2847231,600.0
1667390564.749806,2858031,600.0
1667390564.762546,2862231,600.0
1667390564.782463,2868831,600.0
1667390564.785831,2870031,600.0
