Wall time,Step,Value
1666961169.4243,1800,0
1666961169.49824,19200,0
1666961169.50772,21600,0
1666961169.54542,31049,0
1666961169.5739,38249,0
1666961169.62299,49649,0
1666961169.64359,55049,0
1666961169.6625,59249,0
1666961169.68514,64049,0
1666961169.75355,76649,0
1666961169.80774,90449,0
1666961169.8611,104249,0
1666961169.89139,112049,0
1666961169.92586,121049,0
1666961169.96485,131249,0
1666961169.98132,135449,0
1666961170.03045,148049,0
1666961170.09006,163049,0
1666961170.12621,172649,0
1666961170.1497,179249,0
1666961170.2214,199649,0
1666961170.26552,212249,0
1666961170.31581,226649,0
1666961170.4126,254249,0
1666961170.47136,271049,0
1666961170.49231,277049,0
1666961170.51571,283649,0
1666961170.54786,292649,0
1666961170.62366,314249,0
1666961170.67873,329849,0
1666961170.69952,335849,0
1666961170.72331,342449,0
1666961170.83023,369449,0
1666961170.97642,404849,0
1666961171.1551,455249,0
1666961171.19848,466049,0
1666961171.24034,477449,0
1666961171.27283,485849,0
1666961171.303,492449,0
1666961171.34527,503849,0
1666961171.3894,515849,0
1666961171.43065,527249,0
1666961171.47922,541049,0
1666961171.52891,553049,0
1666961171.63766,580649,0
1666961171.65094,584249,0
1666961171.7033,596849,0
1666961171.75091,609449,0
1666961171.7735,615449,0
1666961171.80057,622649,0
1666961171.85876,638849,0
1666961171.90625,650849,0
1666961171.98336,671249,0
1666961172.03267,683249,0
1666961172.05047,688049,0
1666961172.08245,695249,0
1666961172.16076,717449,0
1666961172.25491,744449,0
1666961172.26539,747449,0
1666961172.28264,752249,0
1666961172.39189,783449,0
1666961172.41105,788849,0
1666961172.43542,794207,0
1666961172.47058,803636,0
1666961172.50636,812790,0
1666961172.52303,817590,0
1666961172.60246,840062,0
1666961172.63713,849662,0
1666961172.72864,872784,0
1666961172.78834,888156,0
1666961172.83096,899235,0
1666961172.89539,914835,0
1666961172.9207,921435,0
1666961173.00689,946035,0
1666961173.05293,959235,0
1666961173.10327,973635,0
1666961173.15929,989835,0
1666961173.21448,1006035,0
1666961173.25209,1015035,0
1666961173.41182,1060035,0
1666961173.4246,1063635,0
1666961173.52707,1092435,0
1666961173.59423,1111635,0
1666961173.65061,1127860,0
1666961173.68125,1135660,0
1666961173.74738,1153660,0
1666961173.77695,1162060,0
1666961173.81571,1172860,0
1666961173.84022,1178860,0
1666961173.87609,1188460,0
1666961173.94261,1203460,0
1666961174.09232,1244860,0
1666961174.11978,1252660,0
1666961174.15333,1262260,0
1666961174.19804,1274860,0
1666961174.25106,1289860,0
1666961174.2742,1296460,0
1666961174.31019,1306660,0
1666961174.35502,1319260,0
1666961174.42329,1336660,0
1666961174.47399,1351060,0
1666961174.48449,1354060,0
1666961174.51881,1363660,0
1666961174.59164,1382260,0
1666961174.62086,1390660,0
1666961174.63957,1396060,0
1666961174.67745,1405060,0
1666961174.73785,1421487,0
1666961174.74198,1422515,0
1666961174.88909,1461777,0
1666961174.92918,1472538,0
1666961174.93782,1474938,0
1666961174.96687,1482518,0
1666961175.02093,1497518,0
1666961175.10005,1517666,0
1666961175.17254,1537900,0
1666961175.28874,1566661,1
1666961175.34288,1579711,0
1666961175.44313,1605230,0
1666961175.48894,1617193,0
1666961175.53598,1628588,0
1666961175.59994,1646481,0
1666961175.63316,1656081,0
1666961175.68469,1669280,0
1666961175.71458,1675769,1
1666961175.73337,1681169,0
1666961175.84009,1711347,0
1666961175.92072,1731985,1
1666961175.96357,1743803,0
1666961175.9849,1749803,0
1666961176.15309,1795878,0
1666961176.17353,1801878,0
1666961176.19378,1807421,1
1666961176.20835,1811621,0
1666961176.2774,1828235,0
1666961176.3006,1834835,0
1666961176.36389,1850124,0
1666961176.42483,1866037,0
1666961176.50766,1885965,0
1666961176.54414,1895859,0
1666961176.60638,1912315,0
1666961176.66049,1927720,0
1666961176.70206,1938430,0
1666961176.74888,1951630,0
1666961176.8892,1990340,0
1666961176.94047,2003773,0
1666961176.95834,2008989,0
1666961177.03084,2028510,0
1666961177.10251,2048626,0
1666961177.17667,2067997,0
1666961177.25693,2090832,0
1666961177.28587,2099099,0
1666961177.31462,2106999,0
1666961177.40572,2132986,0
1666961177.46201,2149786,0
1666961177.49525,2159218,0
1666961177.51143,2164018,0
1666961177.5833,2183276,0
1666961177.62523,2195276,0
1666961177.68208,2208476,0
1666961177.6949,2212076,0
1666961177.71849,2218676,0
1666961177.78889,2237953,0
1666961177.80789,2242907,0
1666961177.82946,2248907,0
1666961177.85312,2255507,0
1666961177.92707,2275875,0
1666961177.9966,2292953,0
1666961178.03681,2303888,0
1666961178.05811,2309288,0
1666961178.19343,2345073,0
